route,beacon_index,lat,lon,is_endpoint
"97 St & N T2.gpx",19,40.797001045691246,-73.94982189597938,0
"97 St & N T2.gpx",20,40.796971269598004,-73.94976326088778,0
"97 St & N T2.gpx",21,40.7969192229266,-73.94977238853669,0
"97 St & N T2.gpx",22,40.79686683112947,-73.94979368033482,0
"97 St & N T2.gpx",23,40.79681265149991,-73.94980148114445,0
"97 St & N T2.gpx",24,40.79675992024502,-73.94978569919755,0
"97 St & N T2.gpx",25,40.796710139256966,-73.94975613925698,0
"97 St & N T2.gpx",26,40.796669954534444,-73.94970713634822,0
"97 St & N T2.gpx",27,40.79664090027567,-73.94964598822362,0
"97 St & N T2.gpx",28,40.796595874869105,-73.94960693743455,0
"97 St & N T2.gpx",29,40.794675892256954,-73.95100436924356,0
"97 St & N T2.gpx",30,40.792755097614645,-73.95240167505798,0
"97 St & N T2.gpx",31,40.791795493941365,-73.95310225988156,0
"97 St & N T2.gpx",32,40.79177925850529,-73.95307650674162,0
"97 St & N T2.gpx",33,40.7918261606503,-73.95304438489786,0
"97 St & N T2.gpx",34,40.79191717329538,-73.95322519820589,0
"97 St & N T2.gpx",35,40.79204851398695,-73.95345699208809,0
"97 St & N T2.gpx",36,40.7920906157981,-73.9535029747449,0
"97 St & N T2.gpx",37,40.792186791166785,-73.95357239377331,0
"97 St & N T2.gpx",38,40.79253334676196,-73.95378293609718,0
"97 St & N T2.gpx",39,40.79256865865509,-73.95383832730211,0
"97 St & N T2.gpx",40,40.792642179102444,-73.95394573248832,0
"97 St & N T2.gpx",41,40.792728730066905,-73.9541302993663,0
"97 St & N T2.gpx",42,40.79276134641765,-73.95418846048534,0
"97 St & N T2.gpx",43,40.792795545554895,-73.95424500014717,0
"97 St & N T2.gpx",44,40.79283516845618,-73.95429463597951,0
"97 St & N T2.gpx",45,40.79292468234138,-73.95437815660969,0
"97 St & N T2.gpx",46,40.7930220426644,-73.95444474354926,0
"97 St & N T2.gpx",47,40.79307233639141,-73.95447356355012,0
"97 St & N T2.gpx",48,40.7931075567034,-73.95451505658862,0
"97 St & N T2.gpx",49,40.793104535863755,-73.95473222773806,0
"97 St & N T2.gpx",50,40.7931078827192,-73.95480439958429,0
"97 St & N T2.gpx",51,40.79311469631252,-73.954876252023,0
"97 St & N T2.gpx",52,40.79313707493527,-73.95501789922324,0
"97 St & N T2.gpx",53,40.79316785985827,-73.95504827799013,0
"97 St & N T2.gpx",54,40.793216325249375,-73.95506382923239,0
"97 St & N T2.gpx",55,40.79329796255421,-73.95516046068192,0
"97 St & N T2.gpx",56,40.793331354767595,-73.9552166945265,0
"97 St & N T2.gpx",57,40.793363762151586,-73.95535491574829,0
"97 St & N T2.gpx",58,40.79335779016842,-73.95542065486427,0
